id;creation_date;update_date;name;email;phone;active
090492e6-6b96-4db0-81a8-57d1cbc94567;2025-10-23T06:13:28;2025-10-23T07:00:16;although than;Christina_Casper35@hotmail.com;"+41(0) 2278742 22";false
b790602f-6948-41a0-b1a1-14b9fca5c8f5;2025-10-22T23:07:11;2025-10-22T19:57:45;shakily rarely underneath;Katlyn_Mraz-Harvey41@hotmail.com;"+41 (0)56 0397170";true
937f43ce-bbe7-4188-a1f8-466fe2a32a88;2025-10-23T09:04:58;2025-10-23T00:55:45;queasily especially;Heaven.Spencer@yahoo.com;"0041 (0) 79229 21 99";true
3694b4a7-c777-4ea6-886f-ef7674eb1242;2025-10-22T18:48:13;2025-10-22T14:56:39;reapply;Vincenzo71@gmail.com;"0041(0) 69468 3886";false
9be8a06c-f3d3-4556-9c5c-d58d39a8d031;2025-10-23T00:46:55;2025-10-23T05:58:42;familiar heartfelt;Eloise18@yahoo.com;"+41 (0)11 3267808";false
2b375cdf-2bc2-4e1a-adff-8d32c6ed7faa;2025-10-22T21:27:09;2025-10-22T21:15:58;ew indeed;Angela_Bashirian89@hotmail.com;"033869 5386";false
31b50e41-dc20-4d30-9dfb-a57541224fb5;2025-10-22T22:44:38;2025-10-23T01:17:48;unto;Brandi_Gerlach@hotmail.com;"0041 (0)99181 13 63";false
964915f7-3089-4c8a-8222-749f376e7340;2025-10-22T21:59:49;2025-10-22T17:43:37;more actual without;Bernadette75@gmail.com;"0041 132432483";false
2af725e6-5b08-4bf5-ac3c-cc52327a8fa8;2025-10-22T18:21:37;2025-10-23T00:02:14;pish mill now;Floyd79@yahoo.com;"0 47 310 35 45";false
2bb70b5c-dea6-4cc7-a9c3-ad50f70d5bde;2025-10-23T06:32:01;2025-10-22T14:48:42;hmph sympathetically ah;Barry82@yahoo.com;"0041 127891237";false
